0 2 4 
9.019493776739510027e-01 1.242519472335549713e+00 1.366944778824559892e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.564202722187581163e+00 1.604878491679727404e+00 7.648539045828062211e-01
1.142416730022726146e+00 1.055946329703766562e+00 1.607378921665033600e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.183861423411114000e+00 1.887244262634308889e+00 1.277824720317614515e+00
1.196571174206897625e+00 1.324652964843487046e+00 8.876542931352302546e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.624141462317188589e-01 1.012857001928393119e+00 9.498398965455501219e-01
1.078685247108399858e+00 7.736096771798137706e-01 1.544999641339116714e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.223435491032789812e+00 1.293085120937669474e+00 8.778529486145727478e-01
7.716305166423412798e-01 6.749532467644491218e-01 7.086373364243253592e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.048320166088836602e+00 1.232439729786784399e+00 1.083431969646281967e+00
1.123084990754887658e+00 9.678620416538230575e-01 1.457357758055022101e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.067169293254256912e-01 9.272954345907293838e-01 1.076577464807017659e+00
1.023255446579873773e+00 8.203795883264228817e-01 1.347723456798421759e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.214842331898081218e+00 1.083401966814330430e+00 1.161366221004809240e+00
1.217957556034011235e+00 7.756117830860405071e-01 7.074656612890610763e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.627325224080480970e-01 8.067554885292526068e-01 9.929374367585271921e-01
9.069999585095301908e-01 7.359563176222551073e-01 1.026606765039006719e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.513939567857829127e+00 7.721686324322543094e-01 1.161013243932385697e+00
1.060169645209100953e+00 8.616974356086635201e-01 1.397599737947710086e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.468168399185221684e-01 1.035974481425060878e+00 1.393492956602207178e+00
9.377091843679260519e-01 9.335758885239208160e-01 1.233860489817792727e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.127275148396817972e+00 8.931892134746568512e-01 1.467950903839750243e+00
8.996773985793005135e-01 8.921205528394703377e-01 7.610885952352820505e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.071030249385463984e+00 9.260593768420127825e-01 1.263047597637142028e+00
7.546813472474140916e-01 9.439905896392131179e-01 1.803246782556916950e+00
